Localidade	Ano	Existentes/Federal	Existentes/Estadual	Existentes/Municipal	Existentes/Particular	Utilizadas/Federal	Utilizadas/Estadual	Utilizadas/Municipal	Utilizadas/Particular
Campo Alegre de Goiás	2008		11	32			11	30	
Campo Alegre de Goiás	2009		11	33			10	30	
Campo Alegre de Goiás	2010		11	33			10	26	
Campo Alegre de Goiás	2011		11	34			11	34	
Campo Alegre de Goiás	2012		11	36			11	28	
Campo Alegre de Goiás	2013		11	29			11	29	
Campo Alegre de Goiás	2014		11	31			11	31	
Campo Alegre de Goiás	2015		11	34			11	34	
Campo Alegre de Goiás	2016		11	32			11	32	
Campo Alegre de Goiás	2017		13	30			13	30	
Campo Limpo de Goiás	2002		9	15					
Campo Limpo de Goiás	2003		9	19					
Campo Limpo de Goiás	2004		9	19					
Campo Limpo de Goiás	2005		8	19					
Campo Limpo de Goiás	2006		8	18					
Campo Limpo de Goiás	2007		8	22					
Campo Limpo de Goiás	2008		8	23			8	23	
Campo Limpo de Goiás	2009		8	24			8	24	
Campo Limpo de Goiás	2010		8	26			8	26	
Campo Limpo de Goiás	2011		8	26			8	26	
Campo Limpo de Goiás	2012		9	28			8	28	
Campo Limpo de Goiás	2013		9	39			8	29	
Campo Limpo de Goiás	2014		9	39			9	29	
Campo Limpo de Goiás	2015		9	39			9	29	
Campo Limpo de Goiás	2016		10	39			3	27	
Campo Limpo de Goiás	2017		18	39			12	29	
Campos Belos	2002		47	53	24				
Campos Belos	2003		45	56	25				
Campos Belos	2004		39	72	21				
Campos Belos	2005		40	77	28				
Campos Belos	2006		40	77	25				
Campos Belos	2007		40	78	29				
Campos Belos	2008		66	83	20		37	83	18
Campos Belos	2009		67	83	15		41	82	13
Campos Belos	2010		67	88	15		44	85	15
Campos Belos	2011		59	87	13		44	87	13
Campos Belos	2012		37	89	14		36	391	13
Campos Belos	2013		37	88	14		38	89	13
Campos Belos	2014		34	92	14		38	89	13
Campos Verdes	2002		35	38					
Campos Verdes	2003		34	33					
Campos Verdes	2004		33	33					
Campos Verdes	2005		31	33					
Campos Verdes	2006		29	27					
Campos Verdes	2007		28	19					
Campos Verdes	2008		33	19			28	19	
Campos Verdes	2009		32	19			27	19	
Campos Verdes	2010		32	19			26	18	
Campos Verdes	2011		33	20			23	20	
Campos Verdes	2012		31	15			19	15	
Campos Verdes	2013		32	19			19	25	
Campos Verdes	2014		32	19			21	24	
Campos Verdes	2015		32	20			19	19	
Campos Verdes	2016		32	20			17	19	
Campos Verdes	2017		32	16			18	15	
Carmo do Rio Verde	2002		31	23	4				
Carmo do Rio Verde	2003		19	37	4				
Carmo do Rio Verde	2004		19	36	9				
Carmo do Rio Verde	2005		18	45					
Carmo do Rio Verde	2006		18	45					
Carmo do Rio Verde	2007		18	36	4				
Carmo do Rio Verde	2008		21	32	4		18	1085	4
Carmo do Rio Verde	2009		21	42	4		20	39	4
Carmo do Rio Verde	2010		21	35	4		19	34	4
Carmo do Rio Verde	2011		20	37	4		20	37	4
Carmo do Rio Verde	2012		20	937	4		18	37	4
Carmo do Rio Verde	2013		20	35	5		19	31	5
Carmo do Rio Verde	2014		20	37	5		19	31	5
Carmo do Rio Verde	2015		20	38	5		18	33	5
Carmo do Rio Verde	2016		20	38	5		17	33	5
Carmo do Rio Verde	2017		23	57	5		23	55	5
Castelândia	2002		7	14					
Castelândia	2003		6	15					
Castelândia	2004		6	15					
Castelândia	2005		6	18					
Castelândia	2006		7	20					
Castelândia	2007		6	18					
Castelândia	2008		7	18			6	17	
Castelândia	2009		7	18			6	17	
Castelândia	2010		7	18			6	17	
Castelândia	2011		7	18			6	18	
Castelândia	2012		6	16			6	17	
Castelândia	2013		6	17			6	19	
Castelândia	2014		6	12			6	14	
Castelândia	2015		6	16			6	12	
Castelândia	2016		6	16			6	12	
Castelândia	2017		6	14			6	13	
Catalão	2002		253	146	133				
Catalão	2003		188	160	204				
Catalão	2004		182	144	209				
Catalão	2005		187	142	225				
Catalão	2006		188	151	254				
Catalão	2007		191	157	240				
Catalão	2008		185	161	259		164	163	249
Catalão	2009		203	172	270		173	176	255
Catalão	2010		202	175	302		174	170	289
Catalão	2011		191	191	284		171	191	292
Catalão	2012		192	486	331		169	226	284
Catalão	2013		188	185	333		173	198	315
Catalão	2014		181	228	347		168	233	329
Caturaí	2002		12	12					
Caturaí	2003		12	13					
Caturaí	2004		12	11					
Caturaí	2005		12	8					
Caturaí	2006		12	11					
Caturaí	2007		12	8					
Caturaí	2008		12	8			10	8	
Caturaí	2009		12	9			10	9	
Caturaí	2010		12	10			10	10	
Caturaí	2011		12	11			9	11	
Caturaí	2012		9	11			9	11	
Caturaí	2013		9	11			9	11	
Caturaí	2014		9	11			9	11	
Caturaí	2015		9	11			9	11	
Caturaí	2016		9	11			9	11	
Caturaí	2017		10	11			10	11	
Cavalcante	2002		15	73	4				
Cavalcante	2003		16	77					
Cavalcante	2004		16	85					
Cavalcante	2005		30	84					
Cavalcante	2006		31	87					
Cavalcante	2007		15	88					
Cavalcante	2008		17	90			56	89	
Cavalcante	2009		19	88			37	85	
Cavalcante	2010		18	87			36	84	
Cavalcante	2011		18	88			41	88	
Cavalcante	2012		18	89			40	82	
Cavalcante	2013		15	95			40	89	
Cavalcante	2014		41	98			44	97	
Cavalcante	2015		19	88	4		43	88	4
Cavalcante	2016		23	81	4		17	81	4
Cavalcante	2017		55	79	4		53	71	4
Cezarina	2002		13	24	7				
Cezarina	2003		13	22	7				
Cezarina	2004		14	22	7				
Cezarina	2005		14	29	7				
Cezarina	2006		14	24	7				
Cezarina	2007		14	21	7				
Cezarina	2008		15	20	7		14	23	7
Cezarina	2009		15	20	7		13	18	7
Cezarina	2010		15	22	7		14	25	7
Cezarina	2011		15	22	7		14	22	7
Cezarina	2012		15	22	7		14	25	7
Cezarina	2013		14	21	7		13	22	7
Cezarina	2014		15	21	7		13	22	7
Cezarina	2015		14	21	6		14	21	6
Cezarina	2016		14	25	6		13	21	6
Cezarina	2017		14	28	6		13	25	6
Chapadão do Céu	2002		7	25	11				
Chapadão do Céu	2003		8	27	14				
Chapadão do Céu	2004		12	27	18				
Chapadão do Céu	2005		12	35	20				
Chapadão do Céu	2006		9	41	20				
Chapadão do Céu	2007		9	42	17				
Chapadão do Céu	2008		6	42	17		5	47	17
Chapadão do Céu	2009		11	42	17		11	42	17
Chapadão do Céu	2010		11	44	19		7	44	19
Chapadão do Céu	2011		11	40	19		7	40	19
Chapadão do Céu	2012		11	40	19		7	39	19
Chapadão do Céu	2013		11	48	19		8	50	19
Chapadão do Céu	2014		11	48	19		10	46	17
Chapadão do Céu	2015		11	53	21		10	53	19
Chapadão do Céu	2016		11	58	21		10	56	19
Chapadão do Céu	2017		11	58	21		10	56	19
Cidade Ocidental	2002		54	88	114				
Cidade Ocidental	2003		51	89	114				
Cidade Ocidental	2004		58	103	89				
Cidade Ocidental	2005		45	108	97				
Cidade Ocidental	2006		40	111	97				
Cidade Ocidental	2007		40	142	100				
Cidade Ocidental	2008		59	139	152		55	136	142
Cidade Ocidental	2009		58	143	122		54	138	117
Cidade Ocidental	2010		105	176	149		58	156	134
Cidade Ocidental	2011		107	172	134		59	172	130
Cidade Ocidental	2012		65	184	90		51	166	77
Cidade Ocidental	2013		66	188	148		57	170	134
Cidade Ocidental	2014		66	207	145		53	196	130
Cidade Ocidental	2015		66	242	147		55	209	134
Cidade Ocidental	2016		68	244	153		44	210	137
Cidade Ocidental	2017		68	221	149		41	215	133
Cocalzinho de Goiás	2002		32	64	16				
Cocalzinho de Goiás	2003		39	63	10				
Cocalzinho de Goiás	2004		33	69	16				
Cocalzinho de Goiás	2005		31	74	10				
Cocalzinho de Goiás	2006		30	67	4				
Cocalzinho de Goiás	2007		30	70	10				
Cocalzinho de Goiás	2008		30	81	10		29	77	10
Cocalzinho de Goiás	2009		30	80	10		29	74	10
Cocalzinho de Goiás	2010		30	79	10		27	71	10
Cocalzinho de Goiás	2011		30	82	10		26	82	10
Cocalzinho de Goiás	2012		30	81	10		29	73	10
Cocalzinho de Goiás	2013		29	80	4		27	75	4
Cocalzinho de Goiás	2014		30	79	4		26	77	4
Cocalzinho de Goiás	2015		30	77	4		26	79	4
Cocalzinho de Goiás	2016		35	78	4		33	70	4
Cocalzinho de Goiás	2017		37	74	4		32	84	4
Colinas do Sul	2002		13	16					
Colinas do Sul	2003		10	21					
Colinas do Sul	2004		11	21					
Colinas do Sul	2005		10	18					
Colinas do Sul	2006		10	19					
Colinas do Sul	2007		10	19					
Colinas do Sul	2008		13	19			12	18	
Colinas do Sul	2009		13	16			11	15	
Colinas do Sul	2010		13	18			11	24	
Colinas do Sul	2011		13	17			11	17	
Colinas do Sul	2012		12	15			11	14	
Colinas do Sul	2013		11	12			11	15	
Colinas do Sul	2014		12	11			12	14	
Colinas do Sul	2015		17	18			16	20	
Colinas do Sul	2016		17	19			16	18	
Colinas do Sul	2017		18	19			18	18	
Córrego do Ouro	2002		8	16					
Córrego do Ouro	2003		8	20					
Córrego do Ouro	2004		7	18					
Córrego do Ouro	2005		7	23					
Córrego do Ouro	2006		14	19					
Córrego do Ouro	2007		14	20					
Córrego do Ouro	2008		14	22			7	22	
Córrego do Ouro	2009		14	23			7	20	
Córrego do Ouro	2010		14	22			7	18	
Córrego do Ouro	2011		14	22			11	22	
Córrego do Ouro	2012		14	22			7	18	
Córrego do Ouro	2013		7	22			7	13	
Córrego do Ouro	2014		7	13			7	12	
Córrego do Ouro	2015		7	11			7	10	
Córrego do Ouro	2016		14	12			8	12	
Córrego do Ouro	2017		14	12			7	11	
Corumbá de Goiás	2002		31	39	5				
Corumbá de Goiás	2003		32	34	5				
Corumbá de Goiás	2004		24	31	13				
Corumbá de Goiás	2005		18	37	13				
Corumbá de Goiás	2006		17	42	13				
Corumbá de Goiás	2007		18	41	13				
Corumbá de Goiás	2008		27	41	13		19	41	12
Corumbá de Goiás	2009		27	41	13		18	40	12
Corumbá de Goiás	2010		28	38	13		18	37	12
Corumbá de Goiás	2011		28	46	13		19	46	12
Corumbá de Goiás	2012		19	44	13		17	37	13
Corumbá de Goiás	2013		19	44	5		16	37	5
Corumbá de Goiás	2014		19	46	5		18	40	5
Corumbá de Goiás	2015		19	46	5		18	39	5
Corumbá de Goiás	2016		18	54	8		19	45	8
Corumbá de Goiás	2017		21	55	8		18	45	8
Corumbaíba	2002		14	68					
Corumbaíba	2003		14	65					
Corumbaíba	2004		13	67					
Corumbaíba	2005		13	68					
Corumbaíba	2006		12	55					
Corumbaíba	2007		14	57					
Corumbaíba	2008		15	57			14	56	
Corumbaíba	2009		14	64			14	64	
Corumbaíba	2010		15	63			14	62	
Corumbaíba	2011		15	62			13	62	
Corumbaíba	2012		14	61			13	60	
Corumbaíba	2013		14	65			12	65	
Corumbaíba	2014		14	67			13	66	
Corumbaíba	2015		14	69			14	67	
Corumbaíba	2016		14	66			14	63	
Corumbaíba	2017		14	71			13	64	
Cristalina	2002		69	120	129				
Cristalina	2003		60	126	113				
Cristalina	2004		75	138	106				
Cristalina	2005		63	184	120				
Cristalina	2006		65	185	93				
Cristalina	2007		53	197	89				
Cristalina	2008		63	197	109		46	194	105
Cristalina	2009		62	194	81		47	195	76
Cristalina	2010		63	195	95		48	205	94
Cristalina	2011		64	198	120		48	198	119
Cristalina	2012		64	208	131		50	222	131
Cristalina	2013		62	217	147		50	234	137
Cristalina	2014		63	229	137		46	242	126
Cristianópolis	2002		8	14	3				
Cristianópolis	2003		7	13	3				
Cristianópolis	2004		7	13	4				
Cristianópolis	2005		7	15	4				
Cristianópolis	2006		7	15	5				
Cristianópolis	2007		7	18	3				
Cristianópolis	2008		7	15	3		7	15	3
Cristianópolis	2009		7	15			6	15	
Cristianópolis	2010		7	15			6	15	
Cristianópolis	2011		7	16			6	16	
Cristianópolis	2012		6	16			6	17	
Cristianópolis	2013		6	16			6	16	
Cristianópolis	2014		6	16			5	16	
Cristianópolis	2015		6	20			4	17	
Cristianópolis	2016		6	20			4	18	
Cristianópolis	2017		6	24			5	20	
Crixás	2002		41	72	25				
Crixás	2003		38	69	28				
Crixás	2004		59	59	31				
Crixás	2005		36	64	27				
Crixás	2006		37	78	29				
Crixás	2007		38	65	31				
Crixás	2008		42	77	32		36	86	32
Crixás	2009		42	74	32		37	74	32
Crixás	2010		42	73	32		34	77	32
Crixás	2011		42	85	32		33	85	32
Crixás	2012		38	93	24		33	85	26
Crixás	2013		38	87	40		32	87	35
Crixás	2014		38	87	35		34	88	30
Crixás	2015		38	92	39		34	95	34
Crixás	2016		37	93	41		33	83	37
Crixás	2017		38	99	31		34	90	30
Cromínia	2002		13	20					
Cromínia	2003		13	20					
Cromínia	2004		13	19					
Cromínia	2005		19	9					
Cromínia	2006		19	13					
Cromínia	2007		20	12					
Cromínia	2008		22	11			18	12	
Cromínia	2009		22	11			18	11	
Cromínia	2010		21	11			18	13	
Cromínia	2011		19	11			17	11	
Cromínia	2012		21	11			17	11	
Cromínia	2013		17	15			17	15	
Cromínia	2014		16	16			15	16	
Cromínia	2015		16	16			14	16	
Cromínia	2016		16	16			14	16	
Cromínia	2017		16	21			14	16	
Cumari	2002		20	8					
Cumari	2003		15	7					
Cumari	2004		14	8					
Cumari	2005		16	6					
Cumari	2006		16	6					
Cumari	2007		16	6					
Cumari	2008		24	6			14	6	
Cumari	2009		26	5			15	5	
Cumari	2010		16	6			15	6	
Cumari	2011		16	7			17	7	
Cumari	2012		16	7			16	7	
Cumari	2013		16	7			16	7	
Cumari	2014		16	7			16	7	
Cumari	2015		16	6			14	6	
Cumari	2016		16	6			14	6	
Cumari	2017		16	5			15	5	
Damianópolis	2002		15	21					
Damianópolis	2003		15	17					
Damianópolis	2004		15	15					
Damianópolis	2005		18	16					
Damianópolis	2006		17	15					
Damianópolis	2007		15	9					
Damianópolis	2008		19	9			11	11	
Damianópolis	2009		19	8			15	8	
Damianópolis	2010		19	10			19	7	
Damianópolis	2011		19	6			12	6	
Damianópolis	2012		10	7			9	8	
Damianópolis	2013		10	7			8	12	
Damianópolis	2014		10	8			9	12	
Damianópolis	2015		10	8			10	12	
Damianópolis	2016		10	8			9	8	
Damianópolis	2017		10	8			8	10	
Damolândia	2002		11	7					
Damolândia	2003		10	6					
Damolândia	2004		11	6					
Damolândia	2005		11	6					
Damolândia	2006		15	6					
Damolândia	2007		10	7					
Damolândia	2008		13	7			11	7	
Damolândia	2009		13	7			11	7	
Damolândia	2010		13	7			10	7	
Damolândia	2011		13	7			9	7	
Damolândia	2012		12	7			8	7	
Damolândia	2013		8	7			8	7	
Damolândia	2014		8	7			7	7	
Damolândia	2015		8	7			10	7	
Damolândia	2016		10	7			8	7	
Damolândia	2017		10	10			7	10	
Davinópolis	2002		9	11					
Davinópolis	2003		9	11					
Davinópolis	2004		8	11					
Davinópolis	2005		8	11					
Davinópolis	2006		8	10					
Davinópolis	2007		9	8					
Davinópolis	2008		9	9			8	9	
Davinópolis	2009		9	11			8	11	
Davinópolis	2010		9	11			8	11	
Davinópolis	2011		9	11			9	11	
Davinópolis	2012		9	16			9	15	
Davinópolis	2013		9	14			5	14	
Davinópolis	2014		9	14			5	14	
Davinópolis	2015		6	14			6	14	
Davinópolis	2016		6	16			6	16	
Davinópolis	2017		6	14			4	14	
Diorama	2002		11	8					
Diorama	2003		13	7					
Diorama	2004		12	8					
Diorama	2005		12	7					
Diorama	2006		14	7					
Diorama	2007		14	4					
Diorama	2008		15	4			13	5	
Diorama	2009		15	4			13	5	
Diorama	2010		15	4			15	5	
Diorama	2011		15	5			12	5	
Diorama	2012		15	6			11	6	
Diorama	2013		15	6			11	6	
Diorama	2014		15	6			13	6	
Diorama	2015		15	6			12	6	
Diorama	2016		15	6			12	5	
Diorama	2017		15	10			11	8	
Divinópolis de Goiás	2002		12	38					
Divinópolis de Goiás	2003		13	37					
Divinópolis de Goiás	2004		14	41					
Divinópolis de Goiás	2005		13	40					
Divinópolis de Goiás	2006		16	43					
Divinópolis de Goiás	2007		10	42					
Divinópolis de Goiás	2008		10	41			12	35	
Divinópolis de Goiás	2009		33	16			28	17	
Divinópolis de Goiás	2010		24	17			22	18	
Divinópolis de Goiás	2011		26	18			24	18	
Divinópolis de Goiás	2012		16	34			12	33	
Divinópolis de Goiás	2013		15	28			12	33	
Divinópolis de Goiás	2014		16	28			13	33	
Divinópolis de Goiás	2015		13	28			10	33	
Divinópolis de Goiás	2016		13	29			12	35	
Divinópolis de Goiás	2017		11	35			10	27	
Doverlândia	2002		18	23					
Doverlândia	2003		18	25					
Doverlândia	2004		18	26					
Doverlândia	2005		20	28					
Doverlândia	2006		20	28	8				
Doverlândia	2007		20	29					
Doverlândia	2008		25	31	7		17	30	7
Doverlândia	2009		27	31	12		18	29	12
Doverlândia	2010		35	29	13		22	28	13
Doverlândia	2011		35	29	5		23	29	5
Doverlândia	2012		35	31	10		21	29	9
Doverlândia	2013		18	30	5		21	25	4
Doverlândia	2014		18	30			21	25	
Doverlândia	2015		18	30			19	26	
Doverlândia	2016		24	30			17	26	
Doverlândia	2017		24	31			18	26	
Edealina	2002		5	19					
Edealina	2003		4	16					
Edealina	2004		4	17					
Edealina	2005		4	18					
Edealina	2006		4	17					
Edealina	2007		4	17					
Edealina	2008		4	20			4	21	
Edealina	2009		4	18			4	19	
Edealina	2010		4	19			4	20	
Edealina	2011		4	20			4	20	
Edealina	2012		4	20			4	20	
Edealina	2013		4	20			4	20	
Edealina	2014		4	20			4	20	
Edealina	2015		4	20			4	20	
Edealina	2016		4	20			4	20	
Edealina	2017		4	21			4	20	
Edéia	2002		20	27	12				
Edéia	2003		20	27	13				
Edéia	2004		19	29	13				
Edéia	2005		19	24	12				
Edéia	2006		19	27	13				
Edéia	2007		20	37	9				
Edéia	2008		22	37	11		20	36	9
Edéia	2009		22	37	13		21	36	9
Edéia	2010		22	37	13		19	37	9
Edéia	2011		22	34	13		20	34	9
Edéia	2012		22	37	13		20	36	9
Edéia	2013		20	35	13		18	35	9
Edéia	2014		20	34	13		18	34	9
Edéia	2015		20	33	11		18	32	9
Edéia	2016		20	33	11		19	32	9
Edéia	2017		21	33	11		19	32	9
Estrela do Norte	2002		14	22					
Estrela do Norte	2003		22	22					
Estrela do Norte	2004		14	23					
Estrela do Norte	2005		13	24					
Estrela do Norte	2006		13	24					
Estrela do Norte	2007		13	20					
Estrela do Norte	2008		12	20			10	17	
Estrela do Norte	2009		20	21			12	17	
Estrela do Norte	2010		20	21			9	18	
Estrela do Norte	2011		20	21			12	21	
Estrela do Norte	2012		20	19			10	18	
Estrela do Norte	2013		10	18			9	17	
Estrela do Norte	2014		10	20			10	18	
Estrela do Norte	2015		10	21			9	19	
Estrela do Norte	2016		10	21			8	19	
Estrela do Norte	2017		10	21			9	19	
Faina	2002		23	37	5				
Faina	2003		22	38	6				
Faina	2004		22	36	6				
Faina	2005		22	31	7				
Faina	2006		21	33					
Faina	2007		21	39					
Faina	2008		24	38			18	38	
Faina	2009		24	37			19	38	
Faina	2010		24	38			22	44	
Faina	2011		24	36			19	36	
Faina	2012		23	41			18	46	
Faina	2013		23	44			23	48	
Faina	2014		23	44			22	48	
Faina	2015		23	49			21	43	
Faina	2016		22	53			20	47	
Faina	2017		23	54			18	51	
Fazenda Nova	2002		35	14	12				
Fazenda Nova	2003		27	24	16				
Fazenda Nova	2004		27	24	21				
Fazenda Nova	2005		21	25	10				
Fazenda Nova	2006		21	25	19				
Fazenda Nova	2007		21	23	22				
Fazenda Nova	2008		30	18	22		20	18	20
Fazenda Nova	2009		35	19	22		20	19	20
Fazenda Nova	2010		35	21	22		21	21	20
Fazenda Nova	2011		35	21	13		19	21	11
Fazenda Nova	2012		36	21	13		19	21	11
Fazenda Nova	2013		33	21	13		21	21	10
Fazenda Nova	2014		33	27	13		22	26	10
Fazenda Nova	2015		33	30			21	29	
Fazenda Nova	2016		33	29			22	28	
Fazenda Nova	2017		33	19			24	19	
Firminópolis	2002		45	20	9				
Firminópolis	2003		44	17	9				
Firminópolis	2004		48	7	9				
Firminópolis	2005		43	11	9				
Firminópolis	2006		36	10	9				
Firminópolis	2007		36	7	10				
Firminópolis	2008		34	10	10		31	16	8
Firminópolis	2009		30	9	10		27	20	8
Firminópolis	2010		34	16	10		28	27	6
Firminópolis	2011		30	15	10		21	15	7
Firminópolis	2012		22	23	10		20	20	7
Firminópolis	2013		22	28	10		20	22	7
Firminópolis	2014		23	25	10		20	29	7
Firminópolis	2015		27	24	10		23	28	7
Firminópolis	2016		27	31	10		24	28	7
Firminópolis	2017		23	25	10		20	23	7
Flores de Goiás	2002		13	54	4				
Flores de Goiás	2003		21	63					
Flores de Goiás	2004		22	68					
Flores de Goiás	2005		23	68					
Flores de Goiás	2006		24	65					
Flores de Goiás	2007		12	69					
Flores de Goiás	2008		12	66			19	76	
Flores de Goiás	2009		12	67			23	66	
Flores de Goiás	2010		13	69			35	63	
Flores de Goiás	2011		13	67			27	67	
Flores de Goiás	2012		12	71			24	73	
Flores de Goiás	2013		12	71			29	73	
Flores de Goiás	2014		15	71			31	73	
Flores de Goiás	2015		14	62			34	63	
Flores de Goiás	2016		25	63			15	64	
Flores de Goiás	2017		24	76			14	56	
Formosa	2002		156	224	192				
Formosa	2003		154	238	200				
Formosa	2004		152	243	205				
Formosa	2005		155	274	211				
Formosa	2006		171	272	172				
Formosa	2007		159	285	176				
Formosa	2008		151	305	214		152	295	165
Formosa	2009		156	298	206		147	283	150
Formosa	2010		160	320	215		148	299	168
Formoso	2002		23	9	2				
Formoso	2003		23	8	2				
Formoso	2004		23	10	2				
Formoso	2005		23	11	2				
Formoso	2006		23	7	2				
Formoso	2007		23	7	2				
Formoso	2008		23	7	2		19	7	2
Formoso	2009		24	10			21	9	
Formoso	2010		24	10			21	9	
Formoso	2011		24	10			22	10	
Formoso	2012		24	11			20	10	
Formoso	2013		22	12			19	12	
Formoso	2014		22	19			19	14	
Formoso	2015		22	19			20	13	
Formoso	2016		22	18			21	12	
Formoso	2017		21	18			18	12	
Gameleira de Goiás	2002		3	21					
Gameleira de Goiás	2003		6	21					
Gameleira de Goiás	2004		8	22					
Gameleira de Goiás	2005		37						
Gameleira de Goiás	2006		8	30					
Gameleira de Goiás	2007		8	23					
Gameleira de Goiás	2008		4	23			4	30	
Gameleira de Goiás	2009		4	30			3	35	
Gameleira de Goiás	2010		4	27			3	32	
Gameleira de Goiás	2011		4	27			4	27	
Gameleira de Goiás	2012		4	35			4	33	
Gameleira de Goiás	2013		7	35			5	34	
Gameleira de Goiás	2014		7	33			5	35	
Gameleira de Goiás	2015		7	33			5	36	
Gameleira de Goiás	2016		7	42			4	35	
Gameleira de Goiás	2017		7	42			5	34	
Goianápolis	2002		22	17	10				
Goianápolis	2003		23	21	4				
Goianápolis	2004		22	22	10				
Goianápolis	2005		22	22	4				
Goianápolis	2006		22	28	4				
Goianápolis	2007		22	19					
Goianápolis	2008		30	21			20	22	
Goianápolis	2009		21	24			20	25	
Goianápolis	2010		23	22			22	27	
Goianápolis	2011		22	23	7		21	23	5
Goianápolis	2012		22	25	7		21	29	5
Goianápolis	2013		22	30	7		21	37	5
Goianápolis	2014		22	30	7		21	38	5
Goianápolis	2015		22	30	7		21	29	5
Goianápolis	2016		22	35	7		21	35	5
Goianápolis	2017		24	45	7		24	45	5
Goiandira	2002		17	13					
Goiandira	2003		19	14					
Goiandira	2004		17	10	6				
Goiandira	2005		18	10	6				
Goiandira	2006		17	10	6				
Goiandira	2007		17	9	6				
Goiandira	2008		14	10	6		14	17	4
Goiandira	2009		20	10	6		19	15	10
Goiandira	2010		21	10	13		18	15	10
Goiandira	2011		16	10	13		15	10	11
Goiandira	2012		14	11	13		14	15	11
Goiandira	2013		14	12	13		14	12	13
Goiandira	2014		14	13			14	24	
Goiandira	2015		26	14			26	24	
Goiandira	2016		26	20			26	20	
Goiandira	2017		14	24			14	24	
Goianésia	2002		122	160	34				
Goianésia	2003		123	165	35				
Goianésia	2004		112	166	58				
Goianésia	2005		110	155	69				
Goianésia	2006		108	158	75				
Goianésia	2007		109	155	62				
Goianésia	2008		99	155	63		100	145	61
Goianésia	2009		115	167	69		117	170	59
Goianésia	2010		117	170	65		118	181	53
Goianésia	2011		117	164	64		111	164	60
Goianésia	2012		116	174	62		111	178	62
Goianésia	2013		114	175	62		108	177	62
Goianésia	2014		118	185	72		113	176	70
Goianésia	2015		107	194	88		100	187	84
Goianésia	2016		112	204	95		101	194	92
Goianésia	2017		113	214	85		104	199	83
Goianira	2002		42	47	26				
Goianira	2003		42	51	22				
Goianira	2004		42	57	21				
Goianira	2005		42	62	20				
Goianira	2006		42	69	13				
Goianira	2007		44	80	17				
Goianira	2008		42	85	17		38	82	15
Goianira	2009		42	91	16		39	89	14
Goianira	2010		48	109	20		41	106	16
Goianira	2011		48	113	13		38	113	12
Goianira	2012		61	104	13		51	101	13
Goianira	2013		55	112	20		51	112	20
Goianira	2014		55	123	23		51	123	23
Goianira	2015		55	122	27		52	120	27
Goianira	2016		59	123	19		55	123	19
Goianira	2017		72	138	35		67	134	34
Goiás	2002		137	133	43				
Goiás	2003		128	125	57				
Goiás	2004		130	118	62				
Goiás	2005		117	109	60				
Goiás	2006		97	101	69				
Goiás	2007		97	97	70				
Goiás	2008		95	101	64		85	90	61
Goiás	2009		103	92	61		88	88	58
Goiás	2010		120	100	55		114	109	51
Goiás	2011		100	105	50		93	105	45
Goiatuba	2002		61	88	59				
Goiatuba	2003		47	84	57				
Goiatuba	2004		47	84	52				
Goiatuba	2005		47	99	55				
Goiatuba	2006		48	96	42				
Goiatuba	2007		51	100	28				
Goiatuba	2008		69	103	34		70	96	34
Goiatuba	2009		85	93	28		79	86	29
Goiatuba	2010		85	94	38		78	87	37
Goiatuba	2011		65	94	39		68	94	38
Goiatuba	2012		63	94	37		62	95	37
Goiatuba	2013		65	94	29		62	88	29
Goiatuba	2014		65	94	32		62	87	30
Goiatuba	2015		83	91	32		79	91	30
Goiatuba	2016		92	93	32		76	89	30
Goiatuba	2017		84	93	44		70	84	41
Gouvelândia	2002		12	20					
Gouvelândia	2003		12	18					
Gouvelândia	2004		14	17					
Gouvelândia	2005		14	18					
Gouvelândia	2006		14	18					
Gouvelândia	2007		13	32					
Gouvelândia	2008		18	32			11	30	
Gouvelândia	2009		18	32			12	31	
Gouvelândia	2010		18	31			11	29	
Gouvelândia	2011		18	22			15	22	
Gouvelândia	2012		14	21			9	21	
Gouvelândia	2013		14	30			9	25	
Gouvelândia	2014		14	29			7	24	
Gouvelândia	2015		13	26			8	21	
Gouvelândia	2016		14	25			7	20	
Gouvelândia	2017		10	25			8	21	
Guapó	2002		43	20	14				
Guapó	2003		36	29	15				
Guapó	2004		38	27	13				
Guapó	2005		36	26	14				
Guapó	2006		36	26	7				
Guapó	2007		36	30	7				
Guapó	2008		43	30	7		40	28	7
Guapó	2009		39	34	8		38	31	8
Guapó	2010		39	43	17		38	35	17
Guapó	2011		39	42	8		39	42	8
Guapó	2012		36	47	15		37	39	15
Guapó	2013		38	54	7		36	52	7
Guapó	2014		38	56	7		37	54	7
Guapó	2015		38	57			37	55	
Guapó	2016		39	56			36	53	
Guapó	2017		39	53			35	50	
Guaraíta	2002		20	12					
Guaraíta	2003		23	2					
Guaraíta	2004		7	8					
Guaraíta	2005		6	7					
Guaraíta	2006		6	7					
Guaraíta	2007		6	7					
Guaraíta	2008		10	7			7	6	
Guaraíta	2009		10	7			6	7	
Guaraíta	2010		10	7			6	8	
Guaraíta	2011		10	7			7	7	
Guaraíta	2012		7	7			7	7	
Guaraíta	2013		7	7			6	7	
Guaraíta	2014		7	7			6	7	
Guaraíta	2015		6	7			6	9	
Guaraíta	2016		6	7			5	7	
Guaraíta	2017		6	8			6	8	
Guarani de Goiás	2002		20	34					
